casts,cover,cover_x,cover_y,directors,id,rate,star,title,url
"['休·格兰特', '科林·费尔斯', '艾玛·汤普森', '凯拉·奈特莉', '连姆·尼森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,1215,1800,['理查德·柯蒂斯'],1292401,8.5,45,真爱至上,https://movie.douban.com/subject/1292401/
"['菲恩·怀特海德', '汤姆·格林-卡尼', '杰克·劳登', '哈里·斯泰尔斯', '阿奈林·巴纳德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494950714.jpg,3500,5155,['克里斯托弗·诺兰'],26607693,8.4,40,敦刻尔克,https://movie.douban.com/subject/26607693/
"['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,400,571,"['维克多·弗莱明', '乔治·库克', '山姆·伍德']",1300267,9.2,45,乱世佳人,https://movie.douban.com/subject/1300267/
"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,1019,1586,['彼得·杰克逊'],1291572,9.0,45,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/
"['罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克', '乔西·查尔斯', '盖尔·汉森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,505,755,['彼得·威尔'],1291548,9.0,45,死亡诗社,https://movie.douban.com/subject/1291548/
"['杰克·尼科尔森', '丹尼·德维托', '克里斯托弗·洛伊德', '路易丝·弗莱彻', '威尔·萨姆森']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,1009,1500,['米洛斯·福尔曼'],1292224,9.0,45,飞越疯人院,https://movie.douban.com/subject/1292224/
"['马特·达蒙', '杰西卡·查斯坦', '克里斯汀·韦格', '杰夫·丹尼尔斯', '迈克尔·佩纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,1200,1809,['雷德利·斯科特'],25864085,8.4,40,火星救援,https://movie.douban.com/subject/25864085/
"['瑞恩·高斯林', '瑞秋·麦克亚当斯', '吉娜·罗兰兹', '詹姆斯·加纳', '斯塔尔勒塔·杜波利斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,1700,2519,['尼克·卡萨维茨'],1309163,8.5,45,恋恋笔记本,https://movie.douban.com/subject/1309163/
"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,2700,4000,['克里斯托弗·诺兰'],3395373,8.6,45,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/
"['约瑟夫·高登-莱维特', '佐伊·丹斯切尔', '吉奥弗瑞·阿伦德', '科洛·莫瑞兹', '马修·格雷·古柏勒']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455251312.jpg,400,617,['马克·韦布'],3072086,8.0,40,和莎莫的500天,https://movie.douban.com/subject/3072086/
"['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德', '明妮·德里弗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,2035,3000,['格斯·范·桑特'],1292656,8.8,45,心灵捕手,https://movie.douban.com/subject/1292656/
"['盖·皮尔斯', '凯瑞-安·莫斯', '乔·潘托里亚诺', '小马克·布恩', '拉什·费加']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,665,922,['克里斯托弗·诺兰'],1304447,8.5,45,记忆碎片,https://movie.douban.com/subject/1304447/
"['本·卫肖', '艾伦·瑞克曼', '蕾切儿·哈伍德', '达斯汀·霍夫曼', '大卫·卡尔德']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,911,1400,['汤姆·提克威'],1760622,8.4,40,香水,https://movie.douban.com/subject/1760622/
"['安妮·海瑟薇', '吉姆·斯特吉斯', '萝玛拉·嘉瑞', '派翠西娅·克拉克森', '拉菲·斯波']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1103205323.jpg,2036,3010,['罗勒·莎菲'],4191644,7.8,40,一天,https://movie.douban.com/subject/4191644/
"['梁朝伟', '汤唯', '陈冲', '王力宏', '庹宗华']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,1051,1500,['李安'],1828115,8.2,40,色，戒,https://movie.douban.com/subject/1828115/
"['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '海伦娜·伯翰·卡特', '拉尔夫·费因斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,1600,2366,['大卫·叶茨'],3011235,8.7,45,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/
"['凯特·温丝莱特', '大卫·克劳斯', '拉尔夫·费因斯', '詹妮特·海因', '苏珊娜·洛塔尔']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,3878,5748,['史蒂芬·戴德利'],2213597,8.5,45,朗读者,https://movie.douban.com/subject/2213597/
"['克里斯汀·斯图尔特', '罗伯特·帕丁森', '比利·伯克', '阿什丽·格林尼', '妮基·瑞德']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1869729517.jpg,400,566,['凯瑟琳·哈德威克'],2268359,7.3,35,暮光之城,https://movie.douban.com/subject/2268359/
"['莱昂纳多·迪卡普里奥', '凯瑞·穆里根', '托比·马奎尔', '艾拉·菲舍尔', '乔尔·埃哲顿']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2091221628.jpg,4671,6872,['巴兹·鲁赫曼'],3364223,7.7,40,了不起的盖茨比,https://movie.douban.com/subject/3364223/
"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,2468,3498,['史蒂文·斯皮尔伯格'],1292849,8.9,45,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/
"['詹妮弗·安妮斯顿', '本·阿弗莱克', '詹妮弗·康纳利', '布莱德利·库珀', '斯嘉丽·约翰逊']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477821688.jpg,1012,1500,['肯·卡皮斯'],2161696,7.7,40,他其实没那么喜欢你,https://movie.douban.com/subject/2161696/
"['杰西·艾森伯格', '安德鲁·加菲尔德', '贾斯汀·汀布莱克', '鲁妮·玛拉', '约瑟夫·梅泽罗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p679478005.jpg,974,1442,['大卫·芬奇'],3205624,8.1,40,社交网络,https://movie.douban.com/subject/3205624/
"['伊万·麦克格雷格', '阿尔伯特·芬尼', '比利·克鲁德普', '杰西卡·兰格', '海伦娜·伯翰·卡特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,569,846,['蒂姆·波顿'],1291545,8.7,45,大鱼,https://movie.douban.com/subject/1291545/
